dateRep,countriesAndTerritories,cases,deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
2020-02-27,Afghanistan,0,0,0.00262869
2020-02-28,Afghanistan,0,0,0.00262869
2020-02-29,Afghanistan,0,0,0.00262869
2020-03-01,Afghanistan,0,0,0.00262869
2020-03-02,Afghanistan,0,0,0.00262869
2020-03-08,Afghanistan,3,0,0.01051476
2020-03-11,Afghanistan,3,0,0.01840083
2020-03-15,Afghanistan,3,0,0.0262869
2020-03-16,Afghanistan,6,0,0.04205905
2020-03-17,Afghanistan,5,0,0.0552025
2020-03-18,Afghanistan,1,0,0.05783119
2020-03-19,Afghanistan,0,0,0.05783119
2020-03-20,Afghanistan,0,0,0.0552025
2020-03-21,Afghanistan,2,0,0.06045988
2020-03-22,Afghanistan,0,0,0.06045988
2020-03-23,Afghanistan,10,0,0.08674678
2020-03-24,Afghanistan,6,1,0.10251892
2020-03-25,Afghanistan,2,0,0.1077763
2020-03-26,Afghanistan,33,0,0.19452309
2020-03-27,Afghanistan,0,0,0.18663702
2020-03-28,Afghanistan,16,1,0.22080999
2020-03-29,Afghanistan,15,1,0.25235427
2020-03-30,Afghanistan,8,1,0.25761166
2020-03-31,Afghanistan,27,0,0.31544284
2020-04-01,Afghanistan,25,0,0.37853141
2020-04-02,Afghanistan,26,0,0.44687736
2020-04-03,Afghanistan,43,0,0.55991105
2020-04-04,Afghanistan,0,0,0.55465367
2020-04-05,Afghanistan,35,1,0.64665783
2020-04-06,Afghanistan,29,2,0.69660295
2020-04-07,Afghanistan,38,0,0.78072104
2020-04-08,Afghanistan,30,4,0.85432437
2020-04-09,Afghanistan,56,3,0.91478425
2020-04-10,Afghanistan,61,1,1.07513436
2020-04-11,Afghanistan,37,0,1.13033686
2020-04-12,Afghanistan,34,3,1.18028197
2020-04-13,Afghanistan,52,0,1.29594435
2020-04-14,Afghanistan,58,3,1.37743375
2020-04-15,Afghanistan,49,2,1.44052232
2020-04-16,Afghanistan,70,2,1.55618469
2020-04-17,Afghanistan,10,4,1.46943791
2020-04-18,Afghanistan,51,1,1.60350112
2020-04-19,Afghanistan,63,0,1.67710445
2020-04-20,Afghanistan,88,3,1.83219718
2020-04-21,Afghanistan,35,2,1.82431111
2020-04-22,Afghanistan,61,1,1.90580051
2020-04-23,Afghanistan,84,4,1.97940384
2020-04-24,Afghanistan,105,2,2.09506622
2020-04-25,Afghanistan,70,1,2.181813
2020-04-26,Afghanistan,112,4,2.38685085
2020-04-27,Afghanistan,68,10,2.42890989
2020-04-28,Afghanistan,172,0,2.7285806
2020-04-29,Afghanistan,124,3,2.92573237
2020-04-30,Afghanistan,122,0,3.06242427
2020-05-01,Afghanistan,222,4,3.61970663
2020-05-02,Afghanistan,164,4,3.91674864
2020-05-03,Afghanistan,134,4,4.10338566
2020-05-04,Afghanistan,235,13,4.48980314
2020-05-05,Afghanistan,190,5,4.89725015
2020-05-06,Afghanistan,330,5,5.60436785
2020-05-07,Afghanistan,168,9,5.82517784
2020-05-08,Afghanistan,171,2,5.99867141
2020-05-09,Afghanistan,215,3,6.37983151
2020-05-10,Afghanistan,255,6,6.75573423
2020-05-11,Afghanistan,369,5,7.54697003
2020-05-12,Afghanistan,285,2,7.84401204
2020-05-13,Afghanistan,280,5,8.25408774
2020-05-14,Afghanistan,259,3,8.61421832
2020-05-15,Afghanistan,113,6,8.32769107
2020-05-16,Afghanistan,1063,32,10.6908837
2020-05-17,Afghanistan,0,0,10.3386392
2020-05-18,Afghanistan,262,1,10.40961384
2020-05-19,Afghanistan,408,4,10.98266833
2020-05-20,Afghanistan,581,5,11.64246962
2020-05-21,Afghanistan,492,9,12.49416529
2020-05-22,Afghanistan,531,6,13.44049382
2020-05-23,Afghanistan,540,12,14.29481819
2020-05-24,Afghanistan,782,11,15.68013801
2020-05-25,Afghanistan,584,2,16.24530644
2020-05-26,Afghanistan,591,1,17.04968569
2020-05-27,Afghanistan,658,1,18.04333065
2020-05-28,Afghanistan,625,7,19.00543132
2020-05-29,Afghanistan,580,8,20.23302972
2020-05-30,Afghanistan,623,11,19.07640596
2020-05-31,Afghanistan,866,3,21.35285181
2020-06-01,Afghanistan,680,8,22.45164439
2020-06-02,Afghanistan,545,8,22.81177497
2020-06-03,Afghanistan,759,5,23.27968185
2020-06-04,Afghanistan,758,24,23.97891349
2020-06-05,Afghanistan,787,6,24.65185822
2020-06-06,Afghanistan,915,9,25.63761711
2020-06-07,Afghanistan,582,18,25.11187903
2020-06-08,Afghanistan,791,30,25.65601794
2020-06-09,Afghanistan,575,12,25.61395889
2020-06-10,Afghanistan,542,15,25.30903081
2020-06-11,Afghanistan,684,21,25.46412354
2020-06-12,Afghanistan,747,21,25.90311483
2020-06-13,Afghanistan,656,20,25.98986161
2020-06-14,Afghanistan,556,5,25.1749676
2020-06-15,Afghanistan,664,20,25.13290856
2020-06-16,Afghanistan,761,7,25.70070567
2020-06-17,Afghanistan,783,13,25.76379424
2020-06-18,Afghanistan,564,13,25.25382831
2020-06-19,Afghanistan,658,42,24.91472726
2020-06-20,Afghanistan,346,2,23.41900244
2020-06-21,Afghanistan,546,21,23.32436959
2020-06-22,Afghanistan,409,12,22.32020987
2020-06-23,Afghanistan,310,17,21.62360692
2020-06-24,Afghanistan,338,20,21.08735409
2020-06-25,Afghanistan,234,21,19.90444343
2020-06-26,Afghanistan,460,36,19.15000929
2020-06-27,Afghanistan,276,8,18.15110695
2020-06-28,Afghanistan,165,20,17.12328902
2020-06-29,Afghanistan,351,18,16.30050894
2020-06-30,Afghanistan,271,12,15.01245066
2020-07-01,Afghanistan,279,13,13.68759072
2020-07-02,Afghanistan,319,28,13.04356158
2020-07-03,Afghanistan,186,33,11.80281973
2020-07-04,Afghanistan,302,12,11.68715735
2020-07-05,Afghanistan,348,7,11.16667666
2020-07-06,Afghanistan,279,38,10.82494691
2020-07-07,Afghanistan,433,56,11.14827583
2020-07-08,Afghanistan,210,16,10.81180346
2020-07-09,Afghanistan,59,1,10.35178265
2020-07-10,Afghanistan,255,20,9.81290112
2020-07-11,Afghanistan,458,37,10.29132277
2020-07-12,Afghanistan,85,16,10.08102754
2020-07-13,Afghanistan,0,0,9.15835722
2020-07-14,Afghanistan,4,2,8.4564969
2020-07-15,Afghanistan,285,33,8.47226904
2020-07-16,Afghanistan,254,49,8.30140416
2020-07-17,Afghanistan,76,21,8.01224823
2020-07-18,Afghanistan,219,32,7.79406692
2020-07-19,Afghanistan,12,17,6.91082696
2020-07-20,Afghanistan,174,17,6.63481448
2020-07-21,Afghanistan,140,5,5.8646082
2020-07-22,Afghanistan,112,4,5.60699654
2020-07-23,Afghanistan,188,21,5.9460976
2020-07-24,Afghanistan,13,0,5.30995453
2020-07-25,Afghanistan,108,35,4.38991291
2020-07-26,Afghanistan,121,13,4.48454576
2020-07-27,Afghanistan,106,10,4.76318694
2020-07-28,Afghanistan,105,1,5.02868466
2020-07-29,Afghanistan,103,1,4.55026302
2020-07-30,Afghanistan,0,0,3.88257567
2020-07-31,Afghanistan,71,0,3.86943221
2020-08-01,Afghanistan,168,12,3.73536901
2020-08-02,Afghanistan,0,0,3.70382472
2020-08-03,Afghanistan,0,1,3.2464326
2020-08-04,Afghanistan,37,4,2.97567749
2020-08-05,Afghanistan,82,6,2.89681678
2020-08-06,Afghanistan,67,4,2.57874525
2020-08-07,Afghanistan,41,0,2.65234858
2020-08-08,Afghanistan,78,9,2.57348786
2020-08-09,Afghanistan,39,5,2.35793526
2020-08-10,Afghanistan,0,0,2.07929408
2020-08-11,Afghanistan,0,0,1.80328159
2020-08-12,Afghanistan,215,32,2.09769491
2020-08-13,Afghanistan,76,10,2.29747538
2020-08-14,Afghanistan,79,9,2.3185049
2020-08-15,Afghanistan,7,0,1.89528575
2020-08-16,Afghanistan,120,7,2.21072859
2020-08-17,Afghanistan,45,5,2.32901966
2020-08-18,Afghanistan,3,0,2.23964419
2020-08-19,Afghanistan,0,0,2.02409158
2020-08-20,Afghanistan,160,8,2.26855978
2020-08-21,Afghanistan,97,2,2.41576644
2020-08-22,Afghanistan,38,0,2.31061883
2020-08-23,Afghanistan,105,2,2.48411239
2020-08-24,Afghanistan,0,0,2.48411239
2020-08-25,Afghanistan,71,10,2.67074941
2020-08-26,Afghanistan,1,0,2.10820967
2020-08-27,Afghanistan,55,4,2.05300717
2020-08-28,Afghanistan,3,0,1.85322671
2020-08-29,Afghanistan,11,1,1.86374147
2020-08-30,Afghanistan,3,0,1.55618469
2020-08-31,Afghanistan,19,0,1.48783875
2020-09-01,Afghanistan,34,4,1.56932815
2020-09-02,Afghanistan,9,0,1.59298636
2020-09-03,Afghanistan,38,3,1.27228614
2020-09-04,Afghanistan,45,1,1.13559424
2020-09-05,Afghanistan,16,0,1.07776305
2020-09-06,Afghanistan,20,0,0.85432437
2020-09-07,Afghanistan,74,2,1.04884745
2020-09-08,Afghanistan,96,3,1.11456471
2020-09-09,Afghanistan,26,3,1.18028197
2020-09-10,Afghanistan,24,2,1.09879257
2020-09-11,Afghanistan,28,0,1.16450983
2020-09-12,Afghanistan,34,0,1.22496971
2020-09-13,Afghanistan,35,0,1.3090878
2020-09-14,Afghanistan,75,0,1.45629446
2020-09-15,Afghanistan,99,6,1.62715933
2020-09-16,Afghanistan,40,10,1.70864874
2020-09-17,Afghanistan,17,0,1.65344624
2020-09-18,Afghanistan,0,0,1.53515517
2020-09-19,Afghanistan,47,1,1.61664457
2020-09-20,Afghanistan,125,4,1.89265706
2020-09-21,Afghanistan,0,0,1.69813397
2020-09-22,Afghanistan,30,3,1.52464041
2020-09-23,Afghanistan,71,2,1.64293148
2020-09-24,Afghanistan,25,5,1.64556017
2020-09-25,Afghanistan,16,0,1.61401588
2020-09-26,Afghanistan,6,2,1.54041255
2020-09-27,Afghanistan,35,0,1.54041255
2020-09-28,Afghanistan,0,0,1.34326078
2020-09-29,Afghanistan,12,3,1.11456471
2020-09-30,Afghanistan,15,2,1.04884745
2020-10-01,Afghanistan,14,0,1.04096138
2020-10-02,Afghanistan,17,0,1.08564912
2020-10-03,Afghanistan,5,0,0.97524412
2020-10-04,Afghanistan,7,4,0.66505866
2020-10-05,Afghanistan,44,0,0.78072104
2020-10-06,Afghanistan,145,5,1.08302043
2020-10-07,Afghanistan,62,2,1.05936222
2020-10-08,Afghanistan,68,1,1.1723959
2020-10-09,Afghanistan,77,2,1.33274601
2020-10-10,Afghanistan,10,1,1.34326078
2020-10-11,Afghanistan,0,0,1.25125661
2020-10-12,Afghanistan,96,4,1.50361089
2020-10-13,Afghanistan,129,3,1.81116766
2020-10-14,Afghanistan,66,0,1.94523087
2020-10-15,Afghanistan,32,1,1.99254729
2020-10-16,Afghanistan,0,0,1.94785956
2020-10-17,Afghanistan,47,4,2.05826455
2020-10-18,Afghanistan,68,3,2.21861467
2020-10-19,Afghanistan,59,4,2.25804502
2020-10-20,Afghanistan,87,5,2.10558098
2020-10-21,Afghanistan,88,2,2.17392693
2020-10-22,Afghanistan,135,2,2.35004918
2020-10-23,Afghanistan,116,4,2.45256811
2020-10-24,Afghanistan,61,2,2.58663132
2020-10-25,Afghanistan,81,4,2.79955524
2020-10-26,Afghanistan,65,3,2.71806583
2020-10-27,Afghanistan,199,8,2.90207416
2020-10-28,Afghanistan,113,7,3.02562261
2020-10-29,Afghanistan,0,0,2.94150452
2020-10-30,Afghanistan,123,3,3.26483343
2020-10-31,Afghanistan,157,4,3.55398937
2020-11-01,Afghanistan,76,0,3.57501889
2020-11-02,Afghanistan,132,5,3.76691329
2020-11-03,Afghanistan,95,3,3.78794281
2020-11-04,Afghanistan,86,4,3.78268543
2020-11-05,Afghanistan,121,6,3.74588377
2020-11-06,Afghanistan,40,0,3.5461033
2020-11-07,Afghanistan,58,2,3.53821723
2020-11-08,Afghanistan,126,6,3.65650829
2020-11-09,Afghanistan,80,3,3.69593865
2020-11-10,Afghanistan,224,12,3.76165591
2020-11-11,Afghanistan,0,0,3.4646139
2020-11-12,Afghanistan,146,4,3.84840269
2020-11-13,Afghanistan,360,14,4.47140231
2020-11-14,Afghanistan,66,10,4.23219148
2020-11-15,Afghanistan,205,12,4.57129254
2020-11-16,Afghanistan,163,9,4.65278194
2020-11-17,Afghanistan,65,6,4.57392123
2020-11-18,Afghanistan,383,13,5.35464227
2020-11-19,Afghanistan,0,0,5.03657073
2020-11-20,Afghanistan,282,5,5.6727138
2020-11-21,Afghanistan,232,25,6.13010593
2020-11-22,Afghanistan,154,12,6.20370926
2020-11-23,Afghanistan,252,8,6.655844
2020-11-24,Afghanistan,246,17,6.71367519
2020-11-25,Afghanistan,185,13,7.1999829
2020-11-26,Afghanistan,200,12,7.34193218
2020-11-27,Afghanistan,0,0,6.39560365
2020-11-28,Afghanistan,214,15,6.78464983
2020-11-29,Afghanistan,228,11,6.8451097
2020-11-30,Afghanistan,0,0,6.41663317
2020-12-01,Afghanistan,272,11,6.96077208
2020-12-02,Afghanistan,400,48,7.00545982
2020-12-03,Afghanistan,202,19,7.53645527
2020-12-04,Afghanistan,119,5,7.10797874
2020-12-05,Afghanistan,235,18,7.11586481
2020-12-06,Afghanistan,234,10,7.32616004
2020-12-07,Afghanistan,210,26,7.21575505
2020-12-08,Afghanistan,200,6,7.09483529
2020-12-09,Afghanistan,135,13,6.96340077
2020-12-10,Afghanistan,202,16,6.96865815
2020-12-11,Afghanistan,63,10,7.13426564
2020-12-12,Afghanistan,113,11,6.86876792
2020-12-13,Afghanistan,298,9,7.05277624
2020-12-14,Afghanistan,746,6,9.01377925
2020-03-09,Albania,2,0,
2020-03-10,Albania,4,0,
2020-03-11,Albania,4,0,
2020-03-12,Albania,1,1,
2020-03-13,Albania,12,0,
2020-03-14,Albania,10,0,
2020-03-15,Albania,5,0,
2020-03-16,Albania,4,0,
2020-03-17,Albania,9,0,
2020-03-18,Albania,4,0,
2020-03-19,Albania,4,1,
2020-03-20,Albania,11,0,
2020-03-21,Albania,0,0,
2020-03-22,Albania,6,0,2.65508954
2020-03-23,Albania,13,0,3.03937882
2020-03-24,Albania,11,2,3.28392654
2020-03-25,Albania,23,1,3.94769893
2020-03-26,Albania,23,0,4.71627748
2020-03-27,Albania,28,1,5.2752437
2020-03-28,Albania,12,3,5.34511448
2020-03-29,Albania,11,1,5.55472681
2020-03-30,Albania,15,0,5.93901609
2020-03-31,Albania,11,2,6.00888686
2020-04-01,Albania,20,3,6.56785308
2020-04-02,Albania,16,0,6.98707775
2020-04-03,Albania,18,1,7.23162547
2020-04-04,Albania,27,1,8.17488097
2020-04-05,Albania,29,2,8.97839491
2020-04-06,Albania,28,2,9.50242574
2020-04-07,Albania,16,1,9.67710268
2020-04-08,Albania,6,0,9.08320107
2020-04-09,Albania,17,0,8.87358874
2020-04-10,Albania,9,1,8.20981636
2020-04-11,Albania,7,0,8.03513941
2020-04-12,Albania,17,0,8.24475174
2020-04-13,Albania,13,0,8.17488097
2020-04-14,Albania,21,0,8.52423485
2020-04-15,Albania,8,1,8.10501019
2020-04-16,Albania,19,1,8.20981636
2020-04-17,Albania,24,1,8.41942869
2020-04-18,Albania,21,0,8.20981636
2020-04-19,Albania,9,0,7.51110858
2020-04-20,Albania,14,0,7.02201314
2020-04-21,Albania,22,0,7.23162547
2020-04-22,Albania,25,0,7.89539786
2020-04-23,Albania,25,1,8.17488097
2020-04-24,Albania,29,0,8.87358874
2020-04-25,Albania,15,0,9.15307185
2020-04-26,Albania,34,0,9.74697346
2020-04-27,Albania,14,1,9.78190885
2020-04-28,Albania,10,0,9.39761957
2020-04-29,Albania,14,2,9.6072319
2020-04-30,Albania,16,1,9.50242574
2020-05-01,Albania,7,0,8.90852413
2020-05-02,Albania,9,0,8.48929947
2020-05-03,Albania,7,0,8.41942869
2020-05-04,Albania,6,0,8.13994558
2020-05-05,Albania,8,0,7.65085014
2020-05-06,Albania,17,0,7.37136703
2020-05-07,Albania,12,0,6.91720697
2020-05-08,Albania,10,0,6.25343459
2020-05-09,Albania,8,0,6.00888686
2020-05-10,Albania,6,0,5.03069598
2020-05-11,Albania,12,0,4.9608252
2020-05-12,Albania,4,0,4.75121287
2020-05-13,Albania,4,0,4.40185898
2020-05-14,Albania,4,0,3.98263432
2020-05-15,Albania,18,0,4.36692359
2020-05-16,Albania,18,0,4.68134209
2020-05-17,Albania,17,0,5.03069598
2020-05-18,Albania,13,0,5.2752437
2020-05-19,Albania,2,0,5.06563137
2020-05-20,Albania,1,0,4.50666515
2020-05-21,Albania,15,0,4.61147131
2020-05-22,Albania,5,0,4.43679437
2020-05-23,Albania,12,0,4.57653593
2020-05-24,Albania,8,0,4.6464067
2020-05-25,Albania,9,1,4.54160054
2020-05-26,Albania,6,0,4.61147131
2020-05-27,Albania,25,1,5.34511448
2020-05-28,Albania,21,0,5.93901609
2020-05-29,Albania,26,0,6.2184992
2020-05-30,Albania,23,0,6.39317614
2020-05-31,Albania,23,0,6.60278847
2020-06-01,Albania,15,0,6.67265925
2020-06-02,Albania,6,0,6.81240081
2020-06-03,Albania,21,0,7.51110858
2020-06-04,Albania,20,0,7.68578552
2020-06-05,Albania,13,0,7.96526863
2020-06-06,Albania,15,0,8.0700748
2020-06-07,Albania,20,1,8.48929947
2020-06-08,Albania,14,0,8.66397641
2020-06-09,Albania,17,0,9.04826569
2020-06-10,Albania,36,0,9.43255496
2020-06-11,Albania,42,0,10.16619812
2020-06-12,Albania,44,1,10.79503512
2020-06-13,Albania,31,1,11.07451823
2020-06-14,Albania,48,0,11.94790295
2020-06-15,Albania,57,0,13.41518928
2020-06-16,Albania,69,0,15.61611877
2020-06-17,Albania,82,1,17.74717748
2020-06-18,Albania,50,1,18.79523914
2020-06-19,Albania,66,1,20.64681475
2020-06-20,Albania,50,3,21.86955335
2020-06-21,Albania,53,1,23.02242118
2020-06-22,Albania,36,1,23.79099974
2020-06-23,Albania,68,0,25.57270456
2020-06-24,Albania,52,1,26.13167078
2020-06-25,Albania,67,2,27.0050555
2020-06-26,Albania,78,2,28.19285872
2020-06-27,Albania,77,2,29.7998866
2020-06-28,Albania,61,2,30.25404665
2020-06-29,Albania,72,2,30.77807748
2020-06-30,Albania,64,3,30.60340054
2020-07-01,Albania,69,4,30.14924049
2020-07-02,Albania,45,3,29.97456354
2020-07-03,Albania,82,4,30.53352976
2020-07-04,Albania,90,3,31.93094531
2020-07-05,Albania,67,2,32.42004076
2020-07-06,Albania,74,2,33.74758553
2020-07-07,Albania,71,3,33.85239169
2020-07-08,Albania,74,2,34.62097025
2020-07-09,Albania,68,2,34.65590564
2020-07-10,Albania,82,0,34.79564719
2020-07-11,Albania,90,2,35.24980724
2020-07-12,Albania,93,4,36.36773968
2020-07-13,Albania,83,4,36.75202896
2020-07-14,Albania,117,2,38.60360456
2020-07-15,Albania,96,2,39.54686006
2020-07-16,Albania,85,4,40.94427561
2020-07-17,Albania,99,3,41.53817722
2020-07-18,Albania,55,3,40.31543861
2020-07-19,Albania,102,4,41.53817722
2020-07-20,Albania,82,1,41.81766033
2020-07-21,Albania,81,1,42.16701422
2020-07-22,Albania,119,4,43.73910671
2020-07-23,Albania,68,3,43.73910671
2020-07-24,Albania,108,3,44.64742682
2020-07-25,Albania,104,5,45.13652226
2020-07-26,Albania,67,6,44.22820215
2020-07-27,Albania,126,4,45.73042387
2020-07-28,Albania,117,6,45.73042387
2020-07-29,Albania,117,4,46.46406703
2020-07-30,Albania,108,2,47.26758097
2020-07-31,Albania,92,4,47.02303325
2020-08-01,Albania,79,3,47.86148258
2020-08-02,Albania,120,4,48.49031958
2020-08-03,Albania,123,5,49.92267052
2020-08-04,Albania,101,6,50.62137829
2020-08-05,Albania,130,4,51.00566757
2020-08-06,Albania,139,6,53.48608017
2020-08-07,Albania,127,6,54.14985256
2020-08-08,Albania,135,1,55.23284961
2020-08-09,Albania,124,4,57.22416676
2020-08-10,Albania,136,6,57.57352065
2020-08-11,Albania,125,1,57.85300376
2020-08-12,Albania,140,5,58.6565177
2020-08-13,Albania,141,3,59.80938553
2020-08-14,Albania,154,5,61.97537963
2020-08-15,Albania,146,6,64.31605068
2020-08-16,Albania,143,6,65.11956462
2020-08-17,Albania,120,3,65.01475845
2020-08-18,Albania,119,2,65.64359545
2020-08-19,Albania,155,2,66.51698017
2020-08-20,Albania,158,2,67.18075256
2020-08-21,Albania,155,4,68.15894344
2020-08-22,Albania,152,2,68.75284505
2020-08-23,Albania,156,5,69.87077749
2020-08-24,Albania,152,5,70.42974371
2020-08-25,Albania,178,4,72.28131931
2020-08-26,Albania,154,5,72.77041476
2020-08-27,Albania,168,4,73.71367025
2020-08-28,Albania,156,3,73.78354103
2020-08-29,Albania,112,5,72.59573781
2020-08-30,Albania,84,4,70.53454988
2020-08-31,Albania,101,5,69.87077749
2020-09-01,Albania,133,4,70.35987293
2020-09-02,Albania,93,6,68.19387883
2020-09-03,Albania,122,6,66.93620484
2020-09-04,Albania,116,5,65.57372467
2020-09-05,Albania,123,5,64.5605984
2020-09-06,Albania,135,6,63.82695524
2020-09-07,Albania,153,4,63.86189063
2020-09-08,Albania,151,3,62.91863513
2020-09-09,Albania,147,2,62.67408741
2020-09-10,Albania,151,1,62.0801858
2020-09-11,Albania,156,2,62.0801858
2020-09-12,Albania,161,3,63.79201985
2020-09-13,Albania,164,3,66.58685095
2020-09-14,Albania,168,4,68.92752199
2020-09-15,Albania,167,4,70.11532521
2020-09-16,Albania,152,2,72.17651315
2020-09-17,Albania,144,3,72.9450917
2020-09-18,Albania,132,5,73.50405792
2020-09-19,Albania,125,5,73.5739287
2020-09-20,Albania,153,5,74.20276569
2020-09-21,Albania,159,4,74.41237803
2020-09-22,Albania,150,2,74.37744264
2020-09-23,Albania,131,3,73.81847642
2020-09-24,Albania,121,3,72.77041476
2020-09-25,Albania,134,0,72.0018362
2020-09-26,Albania,124,3,70.70922682
2020-09-27,Albania,108,2,68.75284505
2020-09-28,Albania,106,2,66.58685095
2020-09-29,Albania,132,3,65.36411234
2020-09-30,Albania,127,4,64.49072762
2020-10-01,Albania,131,3,64.03656757
2020-10-02,Albania,157,1,64.90995229
2020-10-03,Albania,159,1,66.09775551
2020-10-04,Albania,152,3,66.06282012
2020-10-05,Albania,149,4,65.71346623
2020-10-06,Albania,144,4,65.5038539
2020-10-07,Albania,158,3,66.44710939
2020-10-08,Albania,162,4,67.87946033
2020-10-09,Albania,169,4,69.10219894
2020-10-10,Albania,167,2,70.60442065
2020-10-11,Albania,165,3,72.59573781
2020-10-12,Albania,168,4,74.76173191
2020-10-13,Albania,171,4,76.12421208
2020-10-14,Albania,182,5,78.04565846
2020-10-15,Albania,203,5,80.56100645
2020-10-16,Albania,257,5,84.05454532
2020-10-17,Albania,289,4,88.59614586
2020-10-18,Albania,273,5,92.8233279
2020-10-19,Albania,281,3,97.43479921
2020-10-20,Albania,295,3,102.71004291
2020-10-21,Albania,301,4,107.7058035
2020-10-22,Albania,297,4,112.42208098
2020-10-23,Albania,302,3,117.06848769
2020-10-24,Albania,306,4,121.92450672
2020-10-25,Albania,302,4,126.71065498
2020-10-26,Albania,299,4,131.2871909
2020-10-27,Albania,288,3,135.37463139
2020-10-28,Albania,284,7,138.93804104
2020-10-29,Albania,311,6,142.71106302
2020-10-30,Albania,275,6,143.33990002
2020-10-31,Albania,319,3,144.38796168
2020-11-01,Albania,241,7,143.27002924
2020-11-02,Albania,327,9,144.87705713
2020-11-03,Albania,321,9,145.78537723
2020-11-04,Albania,381,5,148.58020833
2020-11-05,Albania,396,4,152.03881182
2020-11-06,Albania,421,7,156.19612308
2020-11-07,Albania,489,6,162.58929922
2020-11-08,Albania,495,8,169.33182925
2020-11-09,Albania,501,2,176.38877777
2020-11-10,Albania,525,12,184.66846491
2020-11-11,Albania,563,8,194.41543837
2020-11-12,Albania,507,11,201.26277456
2020-11-13,Albania,410,8,205.97905204
2020-11-14,Albania,490,7,211.95300352
2020-11-15,Albania,532,7,222.11920164
2020-11-16,Albania,597,11,231.5517566
2020-11-17,Albania,602,8,241.36860084
2020-11-18,Albania,694,6,252.30337752
2020-11-19,Albania,711,9,263.30802497
2020-11-20,Albania,786,11,276.05944187
2020-11-21,Albania,836,15,288.18202176
2020-11-22,Albania,737,13,296.63638584
2020-11-23,Albania,565,14,298.87225072
2020-11-24,Albania,795,17,308.30480568
2020-11-25,Albania,744,19,314.62811104
2020-11-26,Albania,644,8,319.4142593
2020-11-27,Albania,656,10,328.00836493
2020-11-28,Albania,645,18,333.42335019
2020-11-29,Albania,545,16,333.87751024
2020-11-30,Albania,835,11,342.19213276
2020-12-01,Albania,557,12,340.62004027
2020-12-02,Albania,832,12,345.44112391
2020-12-03,Albania,705,17,345.23151158
2020-12-04,Albania,782,13,345.09177003
2020-12-05,Albania,801,18,343.86903142
2020-12-06,Albania,846,19,347.67698879
2020-12-07,Albania,840,16,357.2842207
2020-12-08,Albania,695,17,353.79068182
2020-12-09,Albania,753,14,354.10510032
2020-12-10,Albania,752,15,357.87812231
2020-12-11,Albania,873,14,365.45910166
2020-12-12,Albania,802,12,370.9439577
2020-12-13,Albania,879,12,382.61237754
2020-12-14,Albania,788,14,380.97041427
2019-12-31,Algeria,0,0,
2020-01-01,Algeria,0,0,
2020-01-02,Algeria,0,0,
